"fixture_id","elapsed","team_id","player","type","detail"
328006,69,126,"Reinaldo","Card","Yellow Card"
328006,75,133,"G. Cano","Goal","Normal Goal"
328006,76,126,"d. C. Helio Junio N.","subst","I. Gomes"
328006,78,133,"N. Borges","subst","F. Bastos"
328006,80,126,"G. Carneiro","subst","Tche Tche"
328006,80,126,"Igor Vinicius","subst","Juanfran"
328006,82,126,"R. Arboleda","Card","Yellow Card"
328006,83,133,"G. Parede","subst","M. Benitez"
328006,90,126,"Reinaldo","Goal","Missed Penalty"
328006,90,126,"Reinaldo","Goal","Penalty"
328011,26,118,"Juninho","Goal","Normal Goal"
328011,49,794,"Ricardo","Card","Yellow Card"
328011,56,118,"Ronaldo","Card","Yellow Card"
328011,65,118,"Saldanha","subst","Gilberto"
328011,67,794,"Robinho","subst","Artur"
328011,68,794,"Bruno Tubarao","subst","Claudinho"
328011,70,118,"Clayson","subst","Rodriguinho"
328011,70,118,"Jadson","subst","Rossi"
328011,72,794,"Weverson","subst","Morato"
328011,77,794,"L. Ortiz","Goal","Normal Goal"
328011,82,118,"Zeca","subst","L. Rocha"
328011,82,118,"Alesson","subst","Ronaldo"
328011,88,794,"Weverton","subst","Aderlan"
328011,88,794,"Ytalo","subst","Alerrandro"
328011,90,118,"Ernando","Goal","Normal Goal"
328005,23,124,"Dodi","Card","Yellow Card"
328005,28,119,"P. Guerrero","Goal","Normal Goal"
328005,39,124,"Nene","Goal","Penalty"
328005,47,124,"Nino","Card","Yellow Card"
328005,56,119,"G. Boschilia","Card","Yellow Card"
328005,66,119,"M. Guilherme","subst","G. Boschilia"
328005,67,119,"W. Pottker","subst","P. Guerrero"
328005,73,124,"W. Silva","subst","M. Araujo"
328005,73,124,"Henrique Luiz","subst","M. Paulo"
328005,77,119,"M. Musto","subst","Rodrigo"
328005,77,119,"Peglow","subst","T. Galhardo"
328005,77,124,"Nene","Goal","Penalty"
328005,83,119,"Yuri Alberto","subst","Patrick"
328005,83,124,"Ganso","subst","Nene"
328005,85,119,"R. Saravia","Card","Yellow Card"
328013,58,154,"Paulao","Card","Yellow Card"
328013,62,154,"W. Paulista","subst","Edson Carius"
328013,62,154,"Yuri","subst","Osvaldo"
328013,71,120,"L. Morais","subst","645505"
328013,83,154,"Juninho","Card","Yellow Card"
328013,85,154,"","Goal","Normal Goal"
328013,87,154,"M. Vazquez","subst","Romarinho"
328013,88,154,"Bruno","subst","Carlinhos"
328013,90,120,"L. O. Alves Marcolino","subst","K. Honda"
328008,26,128,"Alex","subst","Lucas Verissimo"
328008,29,128,"Y. Soteldo","Goal","Normal Goal"
328008,36,128,"Joao Paulo","subst","Vladimir"
328008,41,128,"Felipe Jonatan","Goal","Normal Goal"
328008,46,134,"Carlos","subst","618662"
328008,55,128,"Alison","Card","Yellow Card"
328008,64,134,"Richard","subst","Marquinhos Gabriel"
328008,74,134,"Richard","Card","Yellow Card"
328008,78,134,"K. D. Silva Oliveira","subst","Jonathan"
328008,78,134,"Geuvanio","subst","Nikao"
328008,82,128,"Marinho","Goal","Normal Goal"
328008,84,128,"P. G. Tailson","subst","Marinho"
328008,88,134,"Abner","Goal","Normal Goal"
328014,13,144,"Jorginho","Goal","Normal Goal"
